loss,mean_squared_error,mean_absolute_error,PSNR,SSIM,val_loss,val_mean_squared_error,val_mean_absolute_error,val_PSNR,val_SSIM
0.00167474,0.00167474,0.026161,29.0538,0.930191,0.00172445,0.00172445,0.0265169,28.9126,0.929104
0.00167417,0.00167417,0.0261552,29.053,0.930265,0.00172565,0.00172565,0.0265456,28.9185,0.92884
0.00167467,0.00167467,0.0261702,29.053,0.930201,0.00173044,0.00173044,0.0267322,28.8721,0.929214
0.00167471,0.00167471,0.0261734,29.0512,0.930256,0.00172677,0.00172677,0.0266415,28.8887,0.929285
0.00167367,0.00167367,0.0261573,29.0549,0.930267,0.00172365,0.00172365,0.0264989,28.9132,0.929207
0.00167326,0.00167326,0.0261422,29.057,0.930281,0.00172293,0.00172293,0.0265227,28.9134,0.929171
0.00167279,0.00167278,0.0261365,29.0579,0.930293,0.00173843,0.00173843,0.0268603,28.8592,0.928851
0.00167259,0.00167259,0.0261324,29.0579,0.930313,0.00173154,0.00173154,0.0266779,28.9009,0.928681
0.00167325,0.00167325,0.0261561,29.056,0.930275,0.00172189,0.00172189,0.0265368,28.8996,0.929524
0.00167249,0.00167249,0.0261384,29.0582,0.930319,0.00172216,0.00172216,0.026599,28.8895,0.929615
0.0016733,0.0016733,0.026161,29.0531,0.930335,0.00172239,0.00172239,0.0265036,28.9138,0.929292
0.00167096,0.00167096,0.0261026,29.0646,0.93036,0.00172192,0.00172192,0.0264996,28.9196,0.929166
0.00167182,0.00167182,0.0261271,29.06,0.930345,0.00172407,0.00172407,0.0265546,28.9062,0.929251
0.00167144,0.00167144,0.0261206,29.0613,0.930373,0.00172232,0.00172232,0.0265473,28.9133,0.929212
0.00167153,0.00167153,0.0261251,29.0612,0.930353,0.00172049,0.00172049,0.026498,28.9149,0.929364
0.00167094,0.00167094,0.0261192,29.0622,0.930374,0.00172137,0.00172137,0.0264909,28.9164,0.929349
0.00167065,0.00167065,0.0261062,29.0647,0.930376,0.00172083,0.00172083,0.0265108,28.9071,0.929529
0.00167109,0.00167109,0.0261213,29.0603,0.930419,0.00172202,0.00172202,0.0264545,28.9328,0.929024
0.00167043,0.00167043,0.026107,29.0646,0.930408,0.0017228,0.0017228,0.0265218,28.9203,0.929107
0.00167136,0.00167136,0.026134,29.0587,0.930408,0.00172431,0.00172431,0.0266619,28.8872,0.929521
0.00166992,0.00166992,0.0261018,29.065,0.930431,0.00171967,0.00171967,0.0264296,28.9358,0.929115
0.00167029,0.00167029,0.0261094,29.0649,0.930406,0.00172318,0.00172318,0.026609,28.8963,0.929458
0.00166933,0.00166933,0.0260866,29.068,0.930422,0.00172279,0.00172279,0.0266695,28.8834,0.929615
0.00167026,0.00167026,0.0261147,29.0631,0.930434,0.00171958,0.00171958,0.0264042,28.9328,0.929276
0.00166876,0.00166876,0.0260742,29.0707,0.93044,0.00171877,0.00171877,0.0264519,28.9172,0.929552
0.00166965,0.00166965,0.0261018,29.0641,0.930481,0.00171985,0.00171985,0.0264815,28.9177,0.929445
0.00166932,0.00166932,0.0260882,29.0676,0.93045,0.00172578,0.00172578,0.0266925,28.8774,0.929449
0.00166953,0.00166953,0.0260997,29.0647,0.930461,0.00171892,0.00171892,0.0264507,28.9244,0.929404
0.00166898,0.00166898,0.0260937,29.068,0.930469,0.00172046,0.00172046,0.0265309,28.9087,0.929516
0.00166985,0.00166985,0.0261155,29.0626,0.930487,0.00171846,0.00171846,0.02644,28.9274,0.929391
0.001668,0.001668,0.0260639,29.0719,0.930492,0.00171801,0.00171801,0.026493,28.914,0.929585
0.00166923,0.00166923,0.0261004,29.0652,0.930486,0.00172033,0.00172033,0.026558,28.9025,0.929607
0.00166852,0.00166852,0.0260855,29.0675,0.930508,0.00171958,0.00171958,0.0265117,28.9144,0.929473
0.00166827,0.00166827,0.0260795,29.068,0.930526,0.00171904,0.00171904,0.0263737,28.9478,0.929053
0.00166797,0.00166797,0.0260737,29.0707,0.9305,0.00171952,0.00171952,0.0264291,28.9363,0.929167
0.00166792,0.00166792,0.0260731,29.0702,0.930507,0.0017207,0.0017207,0.0266509,28.8842,0.929817
0.00166779,0.00166779,0.0260723,29.0695,0.930518,0.00171889,0.00171889,0.0264509,28.9296,0.929301
0.00166797,0.00166797,0.0260791,29.0687,0.930526,0.00171795,0.00171795,0.0264952,28.9154,0.929578
0.00166843,0.00166843,0.026096,29.0667,0.930498,0.00172091,0.00172091,0.0265046,28.9167,0.929414
0.00166807,0.00166807,0.0260826,29.0684,0.930538,0.00171815,0.00171815,0.02654,28.904,0.929684
0.00166884,0.00166884,0.0261068,29.0642,0.930528,0.00172016,0.00172016,0.026623,28.8825,0.929897
0.00166657,0.00166657,0.0260397,29.0742,0.930569,0.00171824,0.00171824,0.0263793,28.9397,0.929283
0.00166714,0.00166714,0.0260618,29.0737,0.930519,0.00171661,0.00171661,0.0264216,28.9183,0.929768
0.00166767,0.00166767,0.0260751,29.0672,0.930587,0.0017201,0.0017201,0.0265029,28.9194,0.929379
