loss,mean_squared_error,mean_absolute_error,PSNR,SSIM,MIX,val_loss,val_mean_squared_error,val_mean_absolute_error,val_PSNR,val_SSIM,val_MIX
0.0635982,0.00237176,0.0347642,27.0486,0.93091,0.0635982,0.063443,0.00237564,0.0346312,27.0847,0.931069,0.063443
0.0635733,0.00236606,0.0347189,27.0616,0.93093,0.0635732,0.0634591,0.00233989,0.0345291,27.1028,0.93103,0.0634591
0.0635513,0.00236153,0.034688,27.0713,0.930951,0.0635513,0.0634234,0.00233544,0.0344751,27.1171,0.931063,0.0634234
0.0635344,0.00235966,0.0346842,27.0755,0.93097,0.0635344,0.063386,0.00233456,0.0344682,27.122,0.931106,0.063386
0.0635264,0.00235738,0.0346821,27.0803,0.930979,0.0635264,0.0633329,0.00235656,0.0345363,27.1127,0.931182,0.0633329
0.0634987,0.00235291,0.0346391,27.0921,0.931004,0.0634987,0.0633166,0.00233483,0.034372,27.1471,0.93117,0.0633166
0.0634638,0.00234676,0.0345879,27.1047,0.931036,0.0634638,0.0632822,0.00233516,0.0343794,27.1509,0.931213,0.0632822
0.0634501,0.00234442,0.0345746,27.1103,0.93105,0.0634501,0.0632628,0.00232763,0.0343204,27.1678,0.931224,0.0632628
0.063434,0.00234029,0.0345543,27.1188,0.931065,0.063434,0.0632651,0.0023434,0.0344697,27.1395,0.93125,0.0632651
0.0633954,0.0023349,0.034494,27.133,0.9311,0.0633954,0.0632757,0.00231353,0.0343494,27.1618,0.931215,0.0632757
0.0633976,0.00233383,0.0345132,27.1329,0.931101,0.0633976,0.0632952,0.00230455,0.0343423,27.1684,0.93119,0.0632952
0.0633728,0.00233045,0.0344882,27.14,0.931125,0.0633728,0.0631928,0.00233078,0.0343354,27.1752,0.931311,0.0631928
0.0633573,0.00232791,0.0344723,27.1467,0.931141,0.0633573,0.0634767,0.00230268,0.0346372,27.1171,0.93103,0.0634767
0.0633294,0.00232162,0.034421,27.1597,0.931165,0.0633294,0.0632975,0.00237661,0.0348494,27.0902,0.931284,0.0632975
0.0633198,0.00232256,0.0344421,27.1583,0.93118,0.0633198,0.0631236,0.00230597,0.0341674,27.2181,0.931361,0.0631237
0.0633025,0.00231672,0.0343929,27.1694,0.931191,0.0633025,0.0631254,0.0023158,0.0343038,27.1922,0.931385,0.0631254
0.0632827,0.00231405,0.0343703,27.1769,0.93121,0.0632827,0.0631115,0.00231779,0.0342556,27.2066,0.931392,0.0631115
0.0632826,0.00231386,0.0343924,27.1766,0.931215,0.0632826,0.0631086,0.00229216,0.0341593,27.2251,0.931377,0.0631086
0.0632424,0.00230714,0.0343127,27.1937,0.931247,0.0632424,0.0631177,0.0022934,0.0342251,27.2108,0.931379,0.0631177
0.0632484,0.00230643,0.0343363,27.1914,0.931244,0.0632484,0.0630757,0.00230872,0.0342068,27.2215,0.931425,0.0630757
0.0632123,0.00230158,0.0342794,27.2047,0.931276,0.0632123,0.0630608,0.00230275,0.0341577,27.2322,0.931434,0.0630608
0.0632011,0.00229935,0.0342711,27.2089,0.931289,0.0632011,0.0630397,0.00228168,0.0340528,27.2571,0.931439,0.0630397
0.0631789,0.00229598,0.0342383,27.2177,0.931309,0.0631789,0.0630095,0.00230901,0.0342186,27.2291,0.931507,0.0630095
0.0631588,0.00229185,0.0342008,27.2267,0.931325,0.0631587,0.062996,0.00228242,0.0340589,27.2594,0.931492,0.062996
0.0631396,0.00228838,0.0341769,27.2344,0.931344,0.0631396,0.0630294,0.00226066,0.0339875,27.2777,0.931439,0.0630294
0.0631205,0.00228657,0.0341579,27.2392,0.931363,0.0631205,0.0629697,0.00227303,0.033882,27.3039,0.93149,0.0629697
0.0631051,0.00228234,0.0341323,27.2484,0.931376,0.0631051,0.0629925,0.00225986,0.0339874,27.2816,0.931483,0.0629925
0.0630905,0.00228084,0.0341235,27.2523,0.931392,0.0630905,0.0629474,0.00230345,0.0341701,27.2506,0.931571,0.0629474
